index_on_page,tweet_id,tweet_permalink_path,in_reply_to_user,in_reply_to_tweet,quoted_tweet_id,user_screen_name,user_id,user_name,user_location,user_timezone,user_lang,user_bio,user_image_url,date_time,tweet_date,coordinates_long,coordinates_lat,country,location_fullname,location_name,location_type,raw_text,clear_text,user_verified,hashtags,responses_to_tweeter,urls,user_mentions,tweet_language,filter_level,is_retweet,is_quote,is_reply,is_referenced,retweeted_tweet_id,retweeted_user_id,retweeter_ids,is_message,has_image,media_link,has_video,has_link,links,expanded_links,retweets,quotes,favorites,replies,source,mentions_of_tweeter,context_annotations,possibly_sensitive,conversation_id,withheld_copyright,withheld_in_countries,withheld_scope,is_protected_or_deleted,retweeter_api_cursor,views,blue_verified,video_views,user_geo_enabled
85,2049820103437385739,https://x.com/rahimlue_ali/status/2049820103437385739,IraninSA,2049588295458291930,,rahimlue_ali,1793038759253979136,,Iran,,,"Iranian academic/Political commentator

یک جان ناقابل فدا",https://pbs.twimg.com/profile_images/1846646268681924608/gBgjkG-w_normal.jpg,2026-04-30 14:56:11,2026-04-30 00:00:00,,,,,,,@IraninSA @Nomad514709 Seen this @ExplosiveMediaa ?,@IraninSA @Nomad514709 Seen this @ExplosiveMediaa ?,0,,,,IraninSA Nomad514709 ExplosiveMediaa,en,,,,1,,,,,,,,,,,,0,0,1,0,Twitter for Android,,,,,,,,,,68,0,0,0
86,2050021527245250791,https://x.com/ayeshadequeiroz/status/2050021527245250791,ExplosiveMediaa,2049911158132363638,,ayeshadequeiroz,1746427009365049344,,🫸 🔺 🫷,,,"That one... when she looks at you, you can see she's working things out. It's why we have to feed them like this; she had them all attacking the fences...",https://pbs.twimg.com/profile_images/1746428879156502528/aJpIVlNC_normal.jpg,2026-05-01 04:16:34,2026-05-01 00:00:00,,,,,,,"@ExplosiveMediaa Your videos bring people together while our leaders are tearing the world apart. Thanks for the laughs and the tears, through Legis of all things.","@ExplosiveMediaa Your videos bring people together while our leaders are tearing the world apart. Thanks for the laughs and the tears, through Legis of all things.",0,,,,ExplosiveMediaa,en,,,,1,,,,,,,,,,,,0,0,0,0,Twitter for iPhone,,,,,,,,,,11,1,0,0
87,2049931221677768754,https://x.com/ElleZee25/status/2049931221677768754,ExplosiveMediaa,2049900661081293116,,ElleZee25,1854315500,,,,,,https://pbs.twimg.com/profile_images/2013828996052459520/BPG9uO7__normal.jpg,2026-04-30 22:17:43,2026-04-30 00:00:00,,,,,,,@ExplosiveMediaa @Iran_in_India Totally! Go Persian Lego!,@ExplosiveMediaa @Iran_in_India Totally! Go Persian Lego!,0,,,,ExplosiveMediaa Iran_in_India,en,,,,1,,,,,,,,,,,,0,0,1,0,Twitter Web App,,,,,,,,,,18,0,0,0
88,2049846890104013068,https://x.com/PontesCris14313/status/2049846890104013068,ExplosiveMediaa,2049546953004822549,,PontesCris14313,2028970033104490496,,🇪🇸,,,,https://pbs.twimg.com/profile_images/2042477263728623617/QeIY3vFH_normal.jpg,2026-04-30 16:42:37,2026-04-30 00:00:00,,,,,,,@ExplosiveMediaa Please please pleeease 😃🇮🇷🇷🇺,@ExplosiveMediaa Please please pleeease 😃🇮🇷🇷🇺,0,,,,ExplosiveMediaa,en,,,,1,,,,,,,,,,,,0,0,0,0,Twitter for Android,,,,,,,,,,18,0,0,0
89,2049927723041370527,https://x.com/Sofya_salam/status/2049927723041370527,b_schoendorff,2049580215941112047,,Sofya_salam,1343746309992288258,,Taqwa: Awareness of Allah ,,,"O'Allah, what did he find who lost You - What did he lose who found You.
Quran | عدل | Beyond Sect | Beyond Side",https://pbs.twimg.com/profile_images/1586038318680010752/n-srKOnj_normal.jpg,2026-04-30 22:03:49,2026-04-30 00:00:00,,,,,,,"@b_schoendorff @ExplosiveMediaa Bottom Line: 

Explosive Media's AI-generated Lego-style satirical videos are winning the narrative battle for Iran because they tap into deeper universal human values - like dignity, self-determination, common humanity, and compassionate humor - rather than the West's Freudian","@b_schoendorff @ExplosiveMediaa Bottom Line: 

Explosive Media's AI-generated Lego-style satirical videos are winning the narrative battle for Iran because they tap into deeper universal human values - like dignity, self-determination, common humanity, and compassionate humor - rather than the West's Freudian",0,,,,b_schoendorff ExplosiveMediaa,en,,,,1,,,,,,,,,,,,4,0,14,1,Twitter Web App,,,,,,,,,,474,1,0,0
90,2049661176729010452,https://x.com/Iris2465/status/2049661176729010452,ExplosiveMediaa,2049441150872809719,,Iris2465,1255946016987193350,,Louisiana,,,"Louisiana girl, dog lover, USAF vet, I will live to see Palestine free so help me God",https://pbs.twimg.com/profile_images/2029395188808921088/-pWPoQdS_normal.jpg,2026-04-30 04:24:40,2026-04-30 00:00:00,,,,,,,"@ExplosiveMediaa I'm a US veteran, but I woke up back in 2007. It's been hell since waiting for so many people to catch up. But it's happening.","@ExplosiveMediaa I'm a US veteran, but I woke up back in 2007. It's been hell since waiting for so many people to catch up. But it's happening.",0,,,,ExplosiveMediaa,en,,,,1,,,,,,,,,,,,0,0,0,0,Twitter Web App,,,,,,,,,,4,0,0,0
91,2049960632561074409,https://x.com/Farz_Zaad/status/2049960632561074409,Abra_Company,2049958136711368876,,Farz_Zaad,1676063843183722496,,Planet earth,,,"Farz - imagination /
Zaad - born of ☁️
You think, therefore you are, I am NOT, therefore I KNOW 🙃
https://t.co/hRdvdXGfO6
# check my highlights tab porfa!",https://pbs.twimg.com/profile_images/1926743899193712640/mD8-bHna_normal.jpg,2026-05-01 00:14:35,2026-05-01 00:00:00,,,,,,,"@Abra_Company @Lionness1019 @b_schoendorff @AnaEscobarShow @ExplosiveMediaa Of course and that's why I have no doubts that the future will go in the right direction - because so many more people travel and those that can't, can at least watch the videos of those who do ✌️","@Abra_Company @Lionness1019 @b_schoendorff @AnaEscobarShow @ExplosiveMediaa Of course and that's why I have no doubts that the future will go in the right direction - because so many more people travel and those that can't, can at least watch the videos of those who do ✌️",0,,,,Abra_Company Lionness1019 b_schoendorff AnaEscobarShow ExplosiveMediaa,en,,,,1,,,,,,,,,,,,0,0,3,0,Twitter for Android,,,,,,,,,,12,1,0,0
92,2049824755709333629,https://x.com/GL1962/status/2049824755709333629,b_schoendorff,2049580215941112047,,GL1962,186690450,,"Bangkok, Thailand",,,I write stories based on my experiences as a Brit living in the global south for 30 years. Eastlit publisher. Retired Education Administrator & teacher/trainer.,https://pbs.twimg.com/profile_images/551270349241729024/vHp-CvYc_normal.jpeg,2026-04-30 15:14:40,2026-04-30 00:00:00,,,,,,,"@b_schoendorff @ExplosiveMediaa I think very true, but also the understanding of western culture. How rap is flipped to be a music of hope and not violence. The western image of austere humourless Mullahs and yet the stars are determined intelligent humorous non Mullahs. Many layers to the onion.","@b_schoendorff @ExplosiveMediaa I think very true, but also the understanding of western culture. How rap is flipped to be a music of hope and not violence. The western image of austere humourless Mullahs and yet the stars are determined intelligent humorous non Mullahs. Many layers to the onion.",0,,,,b_schoendorff ExplosiveMediaa,en,,,,1,,,,,,,,,,,,0,0,2,0,Twitter for Android,,,,,,,,,,66,0,0,0
93,2050012054833229989,https://x.com/Sofya_salam/status/2050012054833229989,ExplosiveMediaa,2049967759963087063,2044564469007909161,Sofya_salam,1343746309992288258,,Taqwa: Awareness of Allah ,,,"O'Allah, what did he find who lost You - What did he lose who found You.
Quran | عدل | Beyond Sect | Beyond Side",https://pbs.twimg.com/profile_images/1586038318680010752/n-srKOnj_normal.jpg,2026-05-01 03:38:55,2026-05-01 00:00:00,,,,,,,"@ExplosiveMediaa The classic 'trial balloon' or a move in 'toponymic geopolitics.'  Google making change slowly.😢

https://t.co/J5gSk24f1b","@ExplosiveMediaa The classic 'trial balloon' or a move in 'toponymic geopolitics.'  Google making change slowly.😢

https://t.co/J5gSk24f1b",0,,,,ExplosiveMediaa,en,,,1,1,,,,,,,,,1,https://t.co/J5gSk24f1b,https://x.com/Sofya_salam/status/2044564469007909161?s=20,0,0,0,0,Twitter Web App,,,,,,,,,,73,1,0,0
94,2044564469007909161,https://x.com/Sofya_salam/status/2044564469007909161,MaxBlumenthal,2044470137571406020,,Sofya_salam,1343746309992288258,,Taqwa: Awareness of Allah ,,,"O'Allah, what did he find who lost You - What did he lose who found You.
Quran | عدل | Beyond Sect | Beyond Side",https://pbs.twimg.com/profile_images/1586038318680010752/n-srKOnj_normal.jpg,2026-04-16 02:52:10,2026-04-16 00:00:00,,,,,,,"@MaxBlumenthal Google erased ""Strait of Hormuz"" and 
Persian Gulf includes (Arabian Gulf) preparing to erase PG. https://t.co/PPvR5pr74X","@MaxBlumenthal Google erased ""Strait of Hormuz"" and 
Persian Gulf includes (Arabian Gulf) preparing to erase PG. https://t.co/PPvR5pr74X",0,,,,MaxBlumenthal,en,,,,1,,,,,,1,https://pbs.twimg.com/media/HF_AD7rbEAAaVhF.jpg https://pbs.twimg.com/media/HF_AHndaUAAhLiu.jpg https://pbs.twimg.com/media/HF_ALzLaUAAXNMs.jpg https://pbs.twimg.com/media/HF_ALzAaUAANda1.jpg,,,,,6,1,26,1,Twitter Web App,,,,,,,,,,1020,1,0,0
95,2049959427034226852,https://x.com/ExplosiveMediaa/status/2049959427034226852,Perma_Camper,2049958795410035193,,ExplosiveMediaa,2031492622968303620,,Iran,,,"Iranian Lego-style animation team. Fast, Instant, Explosive🔥🤞.
.
.
Lego Resistance Front
#LRF",https://pbs.twimg.com/profile_images/2039670351412760577/MlFKVB2z_normal.jpg,2026-05-01 00:09:48,2026-05-01 00:00:00,,,,,,,@Perma_Camper @PressTV @iammoeen14 Yes😂,@Perma_Camper @PressTV @iammoeen14 Yes😂,0,,,,Perma_Camper PressTV iammoeen14,und,,,,1,,,,,,,,,,,,0,0,1,0,Twitter for Android,,,,,,,,,,32,1,0,0
96,2049911158132363638,https://x.com/ExplosiveMediaa/status/2049911158132363638,,,2049580215941112047,ExplosiveMediaa,2031492622968303620,,Iran,,,"Iranian Lego-style animation team. Fast, Instant, Explosive🔥🤞.
.
.
Lego Resistance Front
#LRF",https://pbs.twimg.com/profile_images/2039670351412760577/MlFKVB2z_normal.jpg,2026-04-30 20:58:00,2026-04-30 00:00:00,,,,,,,"This article was very important for all our team members.
Make sure to read it.

Thanks, Benji.","This article was very important for all our team members.
Make sure to read it.

Thanks, Benji.",0,,,,,en,,,1,,,,,,,,,,,,,188,0,676,11,Twitter for Android,,,,,,,,,,14835,1,0,0
97,2049580215941112047,https://x.com/b_schoendorff/status/2049580215941112047,,,,b_schoendorff,16961696,,Occupied Turtle Island,,,"Foot soldier, Unit 2027, Shitposting division, Psychological Brigades of the Free People of the World. 

""The final battle has begun, shitpost them to hell!""",https://pbs.twimg.com/profile_images/2037647500820275200/kqh9YL5h_normal.jpg,2026-04-29 23:02:57,2026-04-29 00:00:00,,,,,,,"Why, beyond their amazing and undisputed talent, are @ExplosiveMediaa's Lego videos winning the narrative battle for Iran?

Here's my take from a scientific psychology perspective.

In a time when White Empire has theorized war as being, above all, a battle of narratives (wrong, https://t.co/HKIhE3XaVm","Why, beyond their amazing and undisputed talent, are @ExplosiveMediaa's Lego videos winning the narrative battle for Iran?

Here's my take from a scientific psychology perspective.

In a time when White Empire has theorized war as being, above all, a battle of narratives (wrong, https://t.co/HKIhE3XaVm",0,,,,ExplosiveMediaa,en,,,,,,,,,,1,https://pbs.twimg.com/media/HHGQxAdW0AAI7Kc.jpg,,,,,218,14,556,30,Twitter Web App,,,,,,,,,,31627,1,0,0
98,2049928841771065730,https://x.com/hich1360/status/2049928841771065730,ExplosiveMediaa,2049789076945928291,,hich1360,1176987653109161984,,Tehran,,,دوستدار ایران_ نیمه مهندس_ مریضِ پیگیری اخبار_ ۷۲ ملت را دیده_ کارشناس همه چیز منهای یک چیز.,https://pbs.twimg.com/profile_images/1406031772064923648/LmGlA-D2_normal.jpg,2026-04-30 22:08:16,2026-04-30 00:00:00,,,,,,,"@ExplosiveMediaa .چاکریم

خدا قوت","@ExplosiveMediaa .چاکریم

خدا قوت",0,,,,ExplosiveMediaa,fa,,,,1,,,,,,,,,,,,0,0,1,0,Twitter for Android,,,,,,,,,,12,0,0,0
99,2049939372196106508,https://x.com/Truescorpio4u/status/2049939372196106508,,,2049891608192049177,Truescorpio4u,1156404888018006016,,America,,,"Not a member of the 1 Party System.

Democrats=Republicans=Both Support The Oligarchs.

A Democrat no more! A never republican!

Strictly Independent!✌🏾",https://pbs.twimg.com/profile_images/1789267158188412928/4x-len1M_normal.jpg,2026-04-30 22:50:07,2026-04-30 00:00:00,,,,,,,😬🫣😱,😬🫣😱,0,,,,,art,,,1,,,,,,,,,,,,,0,0,0,0,Twitter for Android,,,,,,,,,,8,0,0,0
100,2049785542003355971,https://x.com/rahimlue_ali/status/2049785542003355971,ExplosiveMediaa,2049782490714313198,,rahimlue_ali,1793038759253979136,,Iran,,,"Iranian academic/Political commentator

یک جان ناقابل فدا",https://pbs.twimg.com/profile_images/1846646268681924608/gBgjkG-w_normal.jpg,2026-04-30 12:38:51,2026-04-30 00:00:00,,,,,,,"@ExplosiveMediaa Great guys. Keep doing what you're doing. You're doing great.
❤️","@ExplosiveMediaa Great guys. Keep doing what you're doing. You're doing great.
❤️",0,,,,ExplosiveMediaa,en,,,,1,,,,,,,,,,,,1,0,4,0,Twitter for Android,,,,,,,,,,106,0,0,0
101,2049923603647398236,https://x.com/CarlGranjero/status/2049923603647398236,b_schoendorff,2049917303723028585,,CarlGranjero,1304092592456388608,,,,,"The game is rigged, but you cannot lose if you do not play.
By their actions shall you know them.
I have an army of sex bot followers.",https://pbs.twimg.com/profile_images/1347241391743709190/APw5m9JQ_normal.jpg,2026-04-30 21:47:27,2026-04-30 00:00:00,,,,,,,@b_schoendorff @sveinless @ExplosiveMediaa @indica @PSF_Resistance Ah hah. There you go.,@b_schoendorff @sveinless @ExplosiveMediaa @indica @PSF_Resistance Ah hah. There you go.,0,,,,b_schoendorff sveinless ExplosiveMediaa indica PSF_Resistance,en,,,,1,,,,,,,,,,,,0,0,1,0,Twitter for Android,,,,,,,,,,10,0,0,0
102,2049949753723490309,https://x.com/MoSoKa75/status/2049949753723490309,ExplosiveMediaa,2049782490714313198,,MoSoKa75,1594807201603919885,,,,,Don't feed the Trolls!,https://pbs.twimg.com/profile_images/1594844317360832512/azlT-XA3_normal.jpg,2026-04-30 23:31:22,2026-04-30 00:00:00,,,,,,,"@ExplosiveMediaa Can you make a video about the German chancellor, please?","@ExplosiveMediaa Can you make a video about the German chancellor, please?",0,,,,ExplosiveMediaa,en,,,,1,,,,,,,,,,,,0,0,1,0,Twitter for Android,,,,,,,,,,11,1,0,0
103,2049756189081088108,https://x.com/rahimlue_ali/status/2049756189081088108,ExplosiveMediaa,2049458410500784397,,rahimlue_ali,1793038759253979136,,Iran,,,"Iranian academic/Political commentator

یک جان ناقابل فدا",https://pbs.twimg.com/profile_images/1846646268681924608/gBgjkG-w_normal.jpg,2026-04-30 10:42:12,2026-04-30 00:00:00,,,,,,,"@ExplosiveMediaa Come on!
It's literally the healthiest most fun competition you can find.
Compete! 😉
I'm unbiased, but I'm rooting for you 100%.
Make sense? 🤔","@ExplosiveMediaa Come on!
It's literally the healthiest most fun competition you can find.
Compete! 😉
I'm unbiased, but I'm rooting for you 100%.
Make sense? 🤔",0,,,,ExplosiveMediaa,en,,,,1,,,,,,,,,,,,0,0,1,0,Twitter for Android,,,,,,,,,,17,0,0,0
104,2049903801700917365,https://x.com/iranazadi/status/2049903801700917365,,,2049891608192049177,iranazadi,47565262,,,,,,https://pbs.twimg.com/profile_images/272363139/tasvir2_normal.jpg,2026-04-30 20:28:46,2026-04-30 00:00:00,,,,,,,خلیج همیشه فارس ❤️❤️💪💪,خلیج همیشه فارس ❤️❤️💪💪,0,,,,,fa,,,1,,,,,,,,,,,,,0,0,1,0,Twitter for iPhone,,,,,,,,,,17,0,0,0
105,2049925118470599007,https://x.com/AvaBrm/status/2049925118470599007,kesic_ivan,2049924191982387242,,AvaBrm,1370929131941150720,,,,,The time that people are waking up to the fabricated lies that was fed to them and standing up against the pedo elite. and here we are … asking for royalty? 🤯,https://pbs.twimg.com/profile_images/2048965016217649152/ghY1TS_5_normal.jpg,2026-04-30 21:53:28,2026-04-30 00:00:00,,,,,,,"@kesic_ivan @ExplosiveMediaa 🤣🤣🤣 thank you kindly, Ivan! 🫶 Yes we have goyim and proud cookies haha","@kesic_ivan @ExplosiveMediaa 🤣🤣🤣 thank you kindly, Ivan! 🫶 Yes we have goyim and proud cookies haha",0,,,,kesic_ivan ExplosiveMediaa,en,,,,1,,,,,,,,,,,,0,0,1,0,Twitter for iPhone,,,,,,,,,,19,0,0,0
106,2049936629566193768,https://x.com/TNT1987a/status/2049936629566193768,,,2049580215941112047,TNT1987a,2895715335,,,,,"Del pasado honor, del presente orgullo!! 🇪🇦🇪🇦🇪🇦  Si eres una persona con valores, honestidad, sinceridad y pensamiento crítico sígueme. Si no! ⛔️",https://pbs.twimg.com/profile_images/2032468924932177920/89DIoUzt_normal.jpg,2026-04-30 22:39:13,2026-04-30 00:00:00,,,,,,,"Interesante reflexión de @b_schoendorff sobre la campaña de Operaciones Psicológicas de Irán realizada por @ExplosiveMediaa a través de los videos de Lego que se viralizaron.

Explico esto más a fondo en un post que puede verse en mi perfil @TNT1987a","Interesante reflexión de @b_schoendorff sobre la campaña de Operaciones Psicológicas de Irán realizada por @ExplosiveMediaa a través de los videos de Lego que se viralizaron.

Explico esto más a fondo en un post que puede verse en mi perfil @TNT1987a",0,,,,b_schoendorff ExplosiveMediaa TNT1987a,es,,,1,,,,,,,,,,,,,3,0,5,0,Twitter for Android,,,,,,,,,,147,1,0,0
107,2049809602846335393,https://x.com/rahimlue_ali/status/2049809602846335393,ExplosiveMediaa,2049786160453452063,,rahimlue_ali,1793038759253979136,,Iran,,,"Iranian academic/Political commentator

یک جان ناقابل فدا",https://pbs.twimg.com/profile_images/1846646268681924608/gBgjkG-w_normal.jpg,2026-04-30 14:14:27,2026-04-30 00:00:00,,,,,,,"@ExplosiveMediaa @Terror_offline Great cultural trait guys. Promoting the competition, finding new talents, thinking about and putting the country and the whole world 1st.
I've never been a fan of anyone. Definitely not anyone in the media.
But right now, I'm a fan.
@ExplosiveMediaa","@ExplosiveMediaa @Terror_offline Great cultural trait guys. Promoting the competition, finding new talents, thinking about and putting the country and the whole world 1st.
I've never been a fan of anyone. Definitely not anyone in the media.
But right now, I'm a fan.
@ExplosiveMediaa",0,,,,ExplosiveMediaa Terror_offline ExplosiveMediaa,en,,,,1,,,,,,,,,,,,0,0,4,1,Twitter for Android,,,,,,,,,,47,0,0,0
108,2049915383256158380,https://x.com/Jordan7th/status/2049915383256158380,ExplosiveMediaa,2049891608192049177,,Jordan7th,22903712,,🗺,,,,https://pbs.twimg.com/profile_images/1955309668923854848/kijMDUAC_normal.jpg,2026-04-30 21:14:47,2026-04-30 00:00:00,,,,,,,@ExplosiveMediaa How the ain't sinking little duck gonna sink? It's beyond imagination. 🐤💛,@ExplosiveMediaa How the ain't sinking little duck gonna sink? It's beyond imagination. 🐤💛,0,,,,ExplosiveMediaa,en,,,,1,,,,,,,,,,,,0,0,0,0,Twitter for Android,,,,,,,,,,91,1,0,0
109,2050013202067370153,https://x.com/Mindcite_US/status/2050013202067370153,HemmatMahdi,2049995551559803090,,Mindcite_US,4765169125,,Divided States of America ,,,"Writer/artist+meme maker firing up resistance bc democracy dies in fascist lies! 🇺🇸 🗽 🇺🇦 Mindcite® on Bluesky, Insta, FB + merch: https://t.co/7IySdRkqzq",https://pbs.twimg.com/profile_images/1063584123393052672/3rWH816a_normal.jpg,2026-05-01 03:43:29,2026-05-01 00:00:00,,,,,,,@HemmatMahdi @TheAcademy @FurkanGozukara @ExplosiveMediaa @IRANinPH @thewartoon @sneako @YourAnonCentral @AdameMedia @TheTNHoller @MAGACult2 👊,@HemmatMahdi @TheAcademy @FurkanGozukara @ExplosiveMediaa @IRANinPH @thewartoon @sneako @YourAnonCentral @AdameMedia @TheTNHoller @MAGACult2 👊,0,,,,HemmatMahdi TheAcademy FurkanGozukara ExplosiveMediaa IRANinPH thewartoon sneako YourAnonCentral AdameMedia TheTNHoller MAGACult2,qme,,,,1,,,,,,,,,,,,0,0,2,0,Twitter for iPhone,,,,,,,,,,25,0,0,0
110,2049835636341772400,https://x.com/QtrRobt/status/2049835636341772400,ExplosiveMediaa,2049546953004822549,,QtrRobt,1984022259242070016,,,,,,https://pbs.twimg.com/profile_images/1984023039508377600/ZLmAvx9l_normal.jpg,2026-04-30 15:57:54,2026-04-30 00:00:00,,,,,,,@ExplosiveMediaa Is Iran releasing the Epstein files? God I hope so! 🤞🏻🤞🏻,@ExplosiveMediaa Is Iran releasing the Epstein files? God I hope so! 🤞🏻🤞🏻,0,,,,ExplosiveMediaa,en,,,,1,,,,,,,,,,,,0,0,1,0,Twitter for Android,,,,,,,,,,32,1,0,0
111,2049962337566945589,https://x.com/lla_rall/status/2049962337566945589,ExplosiveMediaa,2049956261009990016,,lla_rall,1339198501763362818,,,,,Savage Mind | 🪬 | Tranquility in Chaotic,https://pbs.twimg.com/profile_images/1808621510611120129/4jZjkf_o_normal.jpg,2026-05-01 00:21:22,2026-05-01 00:00:00,,,,,,,@ExplosiveMediaa @KUTUBProduction Done ✅,@ExplosiveMediaa @KUTUBProduction Done ✅,0,,,,ExplosiveMediaa KUTUBProduction,en,,,,1,,,,,,,,,,,,0,0,1,0,Twitter for iPhone,,,,,,,,,,12,0,0,0
112,2049992311203856407,https://x.com/oriblum/status/2049992311203856407,ExplosiveMediaa,2049967759963087063,,oriblum,15406241,,,,,“We are not within the circle of those you dictate to.”,https://pbs.twimg.com/profile_images/1875866702426091520/m_qAPQVU_normal.jpg,2026-05-01 02:20:28,2026-05-01 00:00:00,,,,,,,"@ExplosiveMediaa ""Look at the hats...""!
💀","@ExplosiveMediaa ""Look at the hats...""!
💀",0,,,,ExplosiveMediaa,en,,,,1,,,,,,,,,,,,0,0,1,0,Twitter Web App,,,,,,,,,,17,0,0,0
113,2049933456508149848,https://x.com/Sofya_salam/status/2049933456508149848,b_schoendorff,2049931449499853043,,Sofya_salam,1343746309992288258,,Taqwa: Awareness of Allah ,,,"O'Allah, what did he find who lost You - What did he lose who found You.
Quran | عدل | Beyond Sect | Beyond Side",https://pbs.twimg.com/profile_images/1586038318680010752/n-srKOnj_normal.jpg,2026-04-30 22:26:36,2026-04-30 00:00:00,,,,,,,"@b_schoendorff @ExplosiveMediaa Fyi, after AI - Yours is worth ready!! 🇨🇳🇮🇷 💚","@b_schoendorff @ExplosiveMediaa Fyi, after AI - Yours is worth ready!! 🇨🇳🇮🇷 💚",0,,,,b_schoendorff ExplosiveMediaa,en,,,,1,,,,,,,,,,,,0,0,2,2,Twitter Web App,,,,,,,,,,55,1,0,0
114,2049857395422273927,https://x.com/ReutterDavid/status/2049857395422273927,Kathleen_Tyson_,2049811631555637267,,ReutterDavid,1269363201726013440,,Mogambo Bunker of Doom,,,retiredlushinahammock,https://pbs.twimg.com/profile_images/1269364484465811457/Aft-zcye_normal.jpg,2026-04-30 17:24:22,2026-04-30 00:00:00,,,,,,,@Kathleen_Tyson_ @b_schoendorff @ExplosiveMediaa when Sontag wrote Against Interpretation,@Kathleen_Tyson_ @b_schoendorff @ExplosiveMediaa when Sontag wrote Against Interpretation,0,,,,Kathleen_Tyson_ b_schoendorff ExplosiveMediaa,en,,,,1,,,,,,,,,,,,0,0,0,0,Twitter Web App,,,,,,,,,,27,0,0,0
115,2049920203249574330,https://x.com/Sabael333/status/2049920203249574330,ExplosiveMediaa,2049917959250849831,,Sabael333,1777908168380846080,,United States,,,Sapere aude!,https://pbs.twimg.com/profile_images/2041579936100544512/4M8ZDEjR_normal.jpg,2026-04-30 21:33:56,2026-04-30 00:00:00,,,,,,,@ExplosiveMediaa من بهتون خصوصی پیام دادم، ممنون میشم چک کنید🙏,@ExplosiveMediaa من بهتون خصوصی پیام دادم، ممنون میشم چک کنید🙏,0,,,,ExplosiveMediaa,fa,,,,1,,,,,,,,,,,,0,0,1,0,Twitter for iPhone,,,,,,,,,,14,1,0,0
116,2049943746842595437,https://x.com/NtombiMzansi/status/2049943746842595437,Sofya_salam,2049933456508149848,,NtombiMzansi,546671598,,United Kingdom,,,Globe-trotting South African. Passionate about reducing inequality and making the world a better place for all of us.,https://pbs.twimg.com/profile_images/1371118523876057088/g1CADkAH_normal.jpg,2026-04-30 23:07:30,2026-04-30 00:00:00,,,,,,,"@Sofya_salam @b_schoendorff @ExplosiveMediaa Dude. session reset flag=true, rebuild response without prior state","@Sofya_salam @b_schoendorff @ExplosiveMediaa Dude. session reset flag=true, rebuild response without prior state",0,,,,Sofya_salam b_schoendorff ExplosiveMediaa,en,,,,1,,,,,,,,,,,,0,0,0,0,Twitter for iPhone,,,,,,,,,,7,1,0,0
117,2049961461771088153,https://x.com/xxlilflyxx/status/2049961461771088153,ExplosiveMediaa,2049958674538635280,,xxlilflyxx,45352764,,"Da South, USA",,,"constitution lovin’, fiscally conservative, social liberalist who suddenly became a “radical democrat” for speaking out against Israel, Trump, & the war on Iran",https://pbs.twimg.com/profile_images/253263042/mascot_normal.jpg,2026-05-01 00:17:53,2026-05-01 00:00:00,,,,,,,@ExplosiveMediaa I’m just happy you know all the people of our country aren’t evil. The best I can figure is our government is bought and paid for by Israel. It’s wild to me that the people of their country seem to be evil yet you see the protests. Very confusing. Guess people are just,@ExplosiveMediaa I’m just happy you know all the people of our country aren’t evil. The best I can figure is our government is bought and paid for by Israel. It’s wild to me that the people of their country seem to be evil yet you see the protests. Very confusing. Guess people are just,0,,,,ExplosiveMediaa,en,,,,1,,,,,,,,,,,,0,0,10,0,Twitter for iPhone,,,,,,,,,,69,1,0,0
118,2049897656441303204,https://x.com/SamanAhsan/status/2049897656441303204,ExplosiveMediaa,2049891608192049177,,SamanAhsan,448110417,,,,,"The children are always ours, every single one of them, all over the globe... James Baldwin.
Tweets are my personal opinion, likes/ retweets are not endorsement",https://pbs.twimg.com/profile_images/1817843712732647424/DovaBYvb_normal.jpg,2026-04-30 20:04:21,2026-04-30 00:00:00,,,,,,,"@ExplosiveMediaa @RosanneMil3145 Happy Persian Gulf Day! 
Waiting for Stait of Persia day next. https://t.co/4VTnzkUhjN","@ExplosiveMediaa @RosanneMil3145 Happy Persian Gulf Day! 
Waiting for Stait of Persia day next. https://t.co/4VTnzkUhjN",0,,,,ExplosiveMediaa RosanneMil3145,en,,,,1,,,,,,1,https://pbs.twimg.com/media/HHKzDivXoAAQLv_.jpg,,,,,2,0,17,1,Twitter for Android,,,,,,,,,,245,1,0,0
119,2049951624974463213,https://x.com/Lionness1019/status/2049951624974463213,Farz_Zaad,2049951231330656470,,Lionness1019,1952048682112577537,,,,,,https://pbs.twimg.com/profile_images/1952048774366236672/AXvKGNIP_normal.png,2026-04-30 23:38:48,2026-04-30 00:00:00,,,,,,,@Farz_Zaad @b_schoendorff @AnaEscobarShow @ExplosiveMediaa it would be my honor. I would come back &amp; share the better way to live.,@Farz_Zaad @b_schoendorff @AnaEscobarShow @ExplosiveMediaa it would be my honor. I would come back &amp; share the better way to live.,0,,,,Farz_Zaad b_schoendorff AnaEscobarShow ExplosiveMediaa,en,,,,1,,,,,,,,,,,,0,0,2,1,Twitter for iPhone,,,,,,,,,,29,0,0,0
